Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1973,2815.681824324," (adjusted for inflation, 2019 dollars)",1973,$2.8B,,1,$11.6B,,$11611.7B,2815.681824324,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1974,2848.008608519," (adjusted for inflation, 2019 dollars)",1974,$2.8B,,1,$11.4B,,$11407.1B,2848.008608519,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1975,2770.409498141," (adjusted for inflation, 2019 dollars)",1975,$2.8B,,1,$11.4B,,$11350.1B,2770.409498141,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1976,3047.215771529," (adjusted for inflation, 2019 dollars)",1976,$3.0B,,1,$12.3B,,$12298.0B,3047.215771529,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1977,3421.416287129," (adjusted for inflation, 2019 dollars)",1977,$3.4B,,1,$14.8B,,$14769.0B,3421.416287129,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1978,3717.221411043," (adjusted for inflation, 2019 dollars)",1978,$3.7B,,1,$16.2B,,$16199.7B,3717.221411043,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1979,2409.725690083," (adjusted for inflation, 2019 dollars)",1979,$2.4B,,1,$12.9B,,$12943.1B,2409.725690083,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1980,1635.087851942," (adjusted for inflation, 2019 dollars)",1980,$1.6B,,1,$11.4B,,$11423.9B,1635.087851942,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1981,880.315082508," (adjusted for inflation, 2019 dollars)",1981,,$880.3M,1,$11.2B,,$11176.6B,880.315082508,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",8 - Track,Value (Adjusted),1982,95.374632124," (adjusted for inflation, 2019 dollars)",1982,,$95.4M,1,$9.6B,,$9613.2B,95.374632124,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1983,44.149602410," (adjusted for inflation, 2019 dollars)",1983,,$44.1M,1,$9.7B,,$9719.1B,44.149602410,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1984,254.180636189," (adjusted for inflation, 2019 dollars)",1984,,$254.2M,1,$10.7B,,$10666.0B,254.180636189,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1985,925.449828067," (adjusted for inflation, 2019 dollars)",1985,,$925.4M,1,$10.4B,,$10365.3B,925.449828067,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1986,2169.585544708," (adjusted for inflation, 2019 dollars)",1986,$2.2B,,1,$10.8B,,$10825.1B,2169.585544708,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1987,3586.399605634," (adjusted for inflation, 2019 dollars)",1987,$3.6B,,1,$12.5B,,$12521.8B,3586.399605634,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1988,4516.462927303," (adjusted for inflation, 2019 dollars)",1988,$4.5B,,1,$13.5B,,$13517.0B,4516.462927303,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1989,5335.190475," (adjusted for inflation, 2019 dollars)",1989,$5.3B,,1,$13.6B,,$13566.7B,5335.190475,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1990,6751.535586840," (adjusted for inflation, 2019 dollars)",1990,$6.8B,,1,$14.8B,,$14750.8B,6751.535586840,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1991,8142.168640969," (adjusted for inflation, 2019 dollars)",1991,$8.1B,,1,$14.7B,,$14705.3B,8142.168640969,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1992,9706.037138275," (adjusted for inflation, 2019 dollars)",1992,$9.7B,,1,$16.4B,,$16443.7B,9706.037138275,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1993,11520.311348097," (adjusted for inflation, 2019 dollars)",1993,$11.5B,,1,$17.8B,,$17775.0B,11520.311348097,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1994,14601.947884615," (adjusted for inflation, 2019 dollars)",1994,$14.6B,,1,$20.8B,,$20818.3B,14601.947884615,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",CD,Value (Adjusted),1995,15730.957688976," (adjusted for inflation, 2019 dollars)",1995,$15.7B,,1,$20.7B,,$20667.8B,15730.957688976,1995
